Run #1:
[10/100] Train Loss: 78946.9676, Test Loss: 43869.20888012814, mIoU: 0.6503486909917111
[11/100] Train Loss: 72938.5846, Test Loss: 38919.86296221604, mIoU: 0.7639711892756492
[12/100] Train Loss: 67238.3612, Test Loss: 36670.7611769352, mIoU: 0.7723086877666454
[13/100] Train Loss: 62145.1633, Test Loss: 35224.38525632553, mIoU: 0.7015903899351581
[14/100] Train Loss: 58648.5697, Test Loss: 33868.091720315104, mIoU: 0.7622102362741542
[15/100] Train Loss: 55524.3594, Test Loss: 31952.745103965142, mIoU: 0.7049712564743207
[16/100] Train Loss: 51749.7915, Test Loss: 29695.59523195593, mIoU: 0.7486376866010662
[17/100] Train Loss: 49304.6631, Test Loss: 26192.02956308691, mIoU: 0.7886885614722267
[18/100] Train Loss: 46126.7635, Test Loss: 24515.66716888155, mIoU: 0.7401279160250146
[19/100] Train Loss: 42891.9913, Test Loss: 23586.259727529505, mIoU: 0.682119188556183
[20/100] Train Loss: 39857.9043, Test Loss: 21607.82202492451, mIoU: 0.8214805384448367
[21/100] Train Loss: 37421.7954, Test Loss: 20729.719668161455, mIoU: 0.6943669235414948
[22/100] Train Loss: 35315.8936, Test Loss: 20052.27366116063, mIoU: 0.8519694389433036
[23/100] Train Loss: 33249.4421, Test Loss: 18821.58408090342, mIoU: 0.8342935994251849
[24/100] Train Loss: 31550.4101, Test Loss: 17962.543257550813, mIoU: 0.7988404671824757
[25/100] Train Loss: 29855.1743, Test Loss: 17272.248606653055, mIoU: 0.7278606913345896
[26/100] Train Loss: 28394.1525, Test Loss: 18561.98418831418, mIoU: 0.7773520418191711
[27/100] Train Loss: 26859.3495, Test Loss: 15533.867238491392, mIoU: 0.7777352502656938
[28/100] Train Loss: 25477.0174, Test Loss: 15337.00703669437, mIoU: 0.8055963797951198
[29/100] Train Loss: 24168.6213, Test Loss: 14006.491242065165, mIoU: 0.783849637983711
[30/100] Train Loss: 23037.7930, Test Loss: 13712.270495114839, mIoU: 0.807617426956251
[31/100] Train Loss: 22116.6089, Test Loss: 13856.022456079812, mIoU: 0.8491175681470347
[32/100] Train Loss: 20898.9258, Test Loss: 13874.534430399777, mIoU: 0.8169907335991077
[33/100] Train Loss: 20062.2153, Test Loss: 11880.115119386455, mIoU: 0.82168392268648
[34/100] Train Loss: 20276.2025, Test Loss: 61451.4366033978, mIoU: 0.3114254945339249
[35/100] Train Loss: 22530.1053, Test Loss: 14017.522004162063, mIoU: 0.6763986456263266
[36/100] Train Loss: 26252.8018, Test Loss: 12051.377630560035, mIoU: 0.7030657486623164
